,transaction_id,date,account_id,account_type,category,vendor,amount,type,status,balance_after_transaction,total_spent,transaction_count,initial_balance,ending_balance,credit_limit,total_spent_total,transaction_count_total,total_spent_total,transaction_count_total
0,1,2022-01-01,1,Checking,Utilities,Con Edison,238.21,credit,completed,5238.21,,,5000,,,8867.09,61.0,13999.15,95
1,2,2022-01-02,1,Checking,Healthcare,CVS,130.74,debit,completed,5107.47,,,5000,,,13175.28,80.0,16608.36,106
2,3,2022-01-03,1,Checking,Groceries,Trader Joe's,158.95,debit,pending,4948.52,,,5000,,,8829.12,62.0,14691.57,101
3,4,2022-01-04,1,Checking,Entertainment,Spotify,205.67,debit,completed,4742.85,,,5000,,,10627.59,70.0,16169.18,108
4,5,2022-01-05,1,Checking,Rent,Rent Payment,295.98,debit,completed,4446.870000000001,,,5000,,,10299.59,68.0,17219.66,110
5,6,2022-01-06,1,Checking,Healthcare,CVS,22.45,credit,pending,4469.320000000001,,,5000,,,13175.28,80.0,16608.36,106
6,7,2022-01-07,1,Checking,Entertainment,Spotify,261.18,debit,completed,4208.14,,,5000,,,10627.59,70.0,16169.18,108
7,8,2022-01-08,1,Checking,Healthcare,Walgreens,227.36,debit,completed,3980.78,,,5000,,,13175.28,80.0,16608.36,106
8,9,2022-01-09,1,Checking,Shopping,Amazon,88.28,credit,completed,4069.0600000000004,,,5000,,,9529.24,63.0,15401.48,101
9,10,2022-01-10,1,Checking,Utilities,Comcast,27.17,debit,completed,4041.8900000000003,,,5000,,,8867.09,61.0,13999.15,95
10,11,2022-01-11,1,Checking,Groceries,Whole Foods,165.14,debit,completed,3876.7500000000005,,,5000,,,8829.12,62.0,14691.57,101
11,12,2022-01-12,1,Checking,Healthcare,Walgreens,30.45,credit,pending,3907.2000000000003,,,5000,,,13175.28,80.0,16608.36,106
12,13,2022-01-13,1,Checking,Dining,McDonald's,149.81,credit,completed,4057.01,,,5000,,,13425.619999999999,79.0,19737.97,120
13,14,2022-01-14,1,Checking,Utilities,Con Edison,164.03,debit,completed,3892.98,,,5000,,,8867.09,61.0,13999.15,95
14,15,2022-01-15,1,Checking,Entertainment,Spotify,49.33,debit,pending,3843.65,,,5000,,,10627.59,70.0,16169.18,108
15,16,2022-01-16,1,Checking,Entertainment,Movie Theater,42.67,debit,completed,3800.98,,,5000,,,10627.59,70.0,16169.18,108
16,17,2022-01-17,1,Checking,Shopping,Target,280.16,credit,completed,4081.14,,,5000,,,9529.24,63.0,15401.48,101
17,18,2022-01-18,1,Checking,Utilities,Con Edison,188.01,debit,completed,3893.13,,,5000,,,8867.09,61.0,13999.15,95
18,19,2022-01-19,1,Checking,Dining,McDonald's,241.74,debit,completed,3651.3900000000003,,,5000,,,13425.619999999999,79.0,19737.97,120
19,20,2022-01-20,1,Checking,Healthcare,Walgreens,258.44,credit,completed,3909.8300000000004,,,5000,,,13175.28,80.0,16608.36,106
20,21,2022-01-21,1,Checking,Entertainment,Movie Theater,151.39,debit,completed,3758.4400000000005,,,5000,,,10627.59,70.0,16169.18,108
21,22,2022-01-22,1,Checking,Shopping,Best Buy,148.98,debit,completed,3609.4600000000005,,,5000,,,9529.24,63.0,15401.48,101
22,23,2022-01-23,1,Checking,Utilities,Con Edison,80.51,credit,pending,3689.9700000000007,,,5000,,,8867.09,61.0,13999.15,95
23,24,2022-01-24,1,Checking,Shopping,Amazon,294.65,credit,completed,3984.620000000001,,,5000,,,9529.24,63.0,15401.48,101
24,25,2022-01-25,1,Checking,Utilities,Comcast,269.86,debit,completed,3714.7600000000007,,,5000,,,8867.09,61.0,13999.15,95
25,26,2022-01-26,1,Checking,Groceries,Whole Foods,59.02,debit,completed,3655.7400000000007,,,5000,,,8829.12,62.0,14691.57,101
26,27,2022-01-27,1,Checking,Groceries,Whole Foods,67.96,credit,completed,3723.7000000000007,,,5000,,,8829.12,62.0,14691.57,101
27,28,2022-01-28,1,Checking,Dining,Chipotle,186.04,debit,completed,3537.6600000000008,,,5000,,,13425.619999999999,79.0,19737.97,120
28,29,2022-01-29,1,Checking,Utilities,Con Edison,188.01,credit,completed,3725.670000000001,,,5000,,,8867.09,61.0,13999.15,95
29,30,2022-01-30,1,Checking,Healthcare,CVS,18.04,debit,completed,3707.630000000001,,,5000,,,13175.28,80.0,16608.36,106
