date,description,medium,amount
1/1/2022,Project Completion Bonus,income,3409.08
1/15/2022,Monthly Salary,income,3253.37
1/29/2022,Project Completion Bonus,income,3191.64
2/12/2022,Side Project Earnings,income,3118.57
2/26/2022,Freelance Project,income,3120.46
3/12/2022,Performance Bonus,income,3146.49
3/26/2022,Side Project Earnings,income,3328.37
4/9/2022,Referral Bonus,income,3191.51
4/23/2022,Side Project Earnings,income,3340.22
5/7/2022,Project Completion Bonus,income,3413.16
5/21/2022,Freelance Project,income,3420.65
6/4/2022,Monthly Salary,income,3394.51
6/18/2022,Monthly Salary,income,3122.91
7/2/2022,Performance Bonus,income,3169.74
7/16/2022,Monthly Salary,income,3290.28
7/30/2022,Side Project Earnings,income,3308.28
8/13/2022,Monthly Salary,income,3118.74
8/27/2022,Referral Bonus,income,3357.69
9/10/2022,Freelance Project,income,3380.58
9/24/2022,Performance Bonus,income,3393.43
10/8/2022,Freelance Project,income,3284.39
10/22/2022,Referral Bonus,income,3296.59
11/5/2022,Referral Bonus,income,3182.63
11/19/2022,Monthly Salary,income,3390.27
12/3/2022,Referral Bonus,income,3149.69
12/17/2022,Freelance Project,income,3225.64
12/31/2022,Project Completion Bonus,income,3162.8
1/14/2023,Performance Bonus,income,3268.84
1/28/2023,Monthly Salary,income,3265.75
2/11/2023,Side Project Earnings,income,3383.15
2/25/2023,Project Completion Bonus,income,3367.44
3/11/2023,Performance Bonus,income,3150.32
3/25/2023,Monthly Salary,income,3172.18
4/8/2023,Performance Bonus,income,3306.72
4/22/2023,Monthly Salary,income,3407.22
5/6/2023,Freelance Project,income,3344.81
5/20/2023,Project Completion Bonus,income,3191.02
6/3/2023,Freelance Project,income,3261.6
6/17/2023,Side Project Earnings,income,3287.67
7/1/2023,Performance Bonus,income,3289.01
7/15/2023,Freelance Project,income,3234.34
7/29/2023,Freelance Project,income,3289.63
8/12/2023,Performance Bonus,income,3388.83
8/26/2023,Side Project Earnings,income,3382.27
9/9/2023,Referral Bonus,income,3251.13
9/23/2023,Side Project Earnings,income,3355.23
10/7/2023,Project Completion Bonus,income,3212.52
10/21/2023,Performance Bonus,income,3353.21
11/4/2023,Freelance Project,income,3239.25
11/18/2023,Project Completion Bonus,income,3364.01
12/2/2023,Monthly Salary,income,3401.49
12/16/2023,Side Project Earnings,income,3371.66
12/30/2023,Monthly Salary,income,3132.32
1/13/2024,Referral Bonus,income,3188.78
1/27/2024,Freelance Project,income,3269.15
2/10/2024,Freelance Project,income,3334.67
2/24/2024,Freelance Project,income,3128.82
3/9/2024,Freelance Project,income,3431.32
3/23/2024,Monthly Salary,income,3156.31
4/6/2024,Freelance Project,income,3311
4/20/2024,Monthly Salary,income,3187.35
5/4/2024,Monthly Salary,income,3330.51
5/18/2024,Referral Bonus,income,3200.68
6/1/2024,Project Completion Bonus,income,3271.12
6/15/2024,Side Project Earnings,income,3275.55
6/29/2024,Freelance Project,income,3188.16
7/13/2024,Side Project Earnings,income,3253.6
7/27/2024,Side Project Earnings,income,3372.3
8/10/2024,Side Project Earnings,income,3335.48
8/24/2024,Monthly Salary,income,3418.61
9/7/2024,Project Completion Bonus,income,3238.75
9/21/2024,Freelance Project,income,3146.04
10/5/2024,Project Completion Bonus,income,3212.84
10/19/2024,Freelance Project,income,3343.07
11/2/2024,Monthly Salary,income,3403.87
11/16/2024,Referral Bonus,income,3319.97
11/30/2024,Project Completion Bonus,income,3226.27
12/14/2024,Performance Bonus,income,3408.74
12/28/2024,Freelance Project,income,3215
