+---------------+------+--------+--------+-----------+
|   series id   | year | period | value  | footnotes |
+---------------+------+--------+--------+-----------+
| CES0500000001 | 2019 |  M12   | 129066 |           |
| CES0500000001 | 2019 |  M11   | 128957 |           |
| CES0500000001 | 2019 |  M10   | 128788 |           |
| CES0500000001 | 2019 |  M09   | 128705 |           |
| CES0500000001 | 2019 |  M08   | 128530 |           |
| CES0500000001 | 2019 |  M07   | 128362 |           |
| CES0500000001 | 2019 |  M06   | 128240 |           |
| CES0500000001 | 2019 |  M05   | 128078 |           |
| CES0500000001 | 2019 |  M04   | 127983 |           |
| CES0500000001 | 2019 |  M03   | 127725 |           |
| CES0500000001 | 2019 |  M02   | 127542 |           |
| CES0500000001 | 2019 |  M01   | 127554 |           |
| CES0500000001 | 2018 |  M12   | 127293 |           |
| CES0500000001 | 2018 |  M11   | 127149 |           |
| CES0500000001 | 2018 |  M10   | 127046 |           |
| CES0500000001 | 2018 |  M09   | 126887 |           |
| CES0500000001 | 2018 |  M08   | 126806 |           |
| CES0500000001 | 2018 |  M07   | 126587 |           |
| CES0500000001 | 2018 |  M06   | 126486 |           |
| CES0500000001 | 2018 |  M05   | 126306 |           |
| CES0500000001 | 2018 |  M04   | 125982 |           |
| CES0500000001 | 2018 |  M03   | 125853 |           |
| CES0500000001 | 2018 |  M02   | 125635 |           |
| CES0500000001 | 2018 |  M01   | 125293 |           |
| CES0500000001 | 2017 |  M12   | 125137 |           |
| CES0500000001 | 2017 |  M11   | 124996 |           |
| CES0500000001 | 2017 |  M10   | 124785 |           |
| CES0500000001 | 2017 |  M09   | 124666 |           |
| CES0500000001 | 2017 |  M08   | 124597 |           |
| CES0500000001 | 2017 |  M07   | 124398 |           |
| CES0500000001 | 2017 |  M06   | 124228 |           |
| CES0500000001 | 2017 |  M05   | 124042 |           |
| CES0500000001 | 2017 |  M04   | 123838 |           |
| CES0500000001 | 2017 |  M03   | 123647 |           |
| CES0500000001 | 2017 |  M02   | 123522 |           |
| CES0500000001 | 2017 |  M01   | 123320 |           |
| CES0500000001 | 2016 |  M12   | 123106 |           |
| CES0500000001 | 2016 |  M11   | 122911 |           |
| CES0500000001 | 2016 |  M10   | 122774 |           |
| CES0500000001 | 2016 |  M09   | 122638 |           |
| CES0500000001 | 2016 |  M08   | 122380 |           |
| CES0500000001 | 2016 |  M07   | 122226 |           |
| CES0500000001 | 2016 |  M06   | 121972 |           |
| CES0500000001 | 2016 |  M05   | 121702 |           |
| CES0500000001 | 2016 |  M04   | 121672 |           |
| CES0500000001 | 2016 |  M03   | 121488 |           |
| CES0500000001 | 2016 |  M02   | 121273 |           |
| CES0500000001 | 2016 |  M01   | 121082 |           |
| CES0500000001 | 2015 |  M12   | 120986 |           |
| CES0500000001 | 2015 |  M11   | 120729 |           |
| CES0500000001 | 2015 |  M10   | 120528 |           |
| CES0500000001 | 2015 |  M09   | 120225 |           |
| CES0500000001 | 2015 |  M08   | 120070 |           |
| CES0500000001 | 2015 |  M07   | 119939 |           |
| CES0500000001 | 2015 |  M06   | 119680 |           |
| CES0500000001 | 2015 |  M05   | 119527 |           |
| CES0500000001 | 2015 |  M04   | 119197 |           |
| CES0500000001 | 2015 |  M03   | 118955 |           |
| CES0500000001 | 2015 |  M02   | 118853 |           |
| CES0500000001 | 2015 |  M01   | 118602 |           |
| CES0500000001 | 2014 |  M12   | 118419 |           |
| CES0500000001 | 2014 |  M11   | 118156 |           |
| CES0500000001 | 2014 |  M10   | 117887 |           |
| CES0500000001 | 2014 |  M09   | 117667 |           |
| CES0500000001 | 2014 |  M08   | 117402 |           |
| CES0500000001 | 2014 |  M07   | 117175 |           |
| CES0500000001 | 2014 |  M06   | 116938 |           |
| CES0500000001 | 2014 |  M05   | 116668 |           |
| CES0500000001 | 2014 |  M04   | 116445 |           |
| CES0500000001 | 2014 |  M03   | 116154 |           |
| CES0500000001 | 2014 |  M02   | 115885 |           |
| CES0500000001 | 2014 |  M01   | 115737 |           |
| CES0500000001 | 2013 |  M12   | 115547 |           |
| CES0500000001 | 2013 |  M11   | 115469 |           |
| CES0500000001 | 2013 |  M10   | 115209 |           |
| CES0500000001 | 2013 |  M09   | 114984 |           |
| CES0500000001 | 2013 |  M08   | 114803 |           |
| CES0500000001 | 2013 |  M07   | 114576 |           |
| CES0500000001 | 2013 |  M06   | 114429 |           |
| CES0500000001 | 2013 |  M05   | 114226 |           |
| CES0500000001 | 2013 |  M04   | 114007 |           |
| CES0500000001 | 2013 |  M03   | 113820 |           |
| CES0500000001 | 2013 |  M02   | 113667 |           |
| CES0500000001 | 2013 |  M01   | 113394 |           |
| CES0500000001 | 2012 |  M12   | 113187 |           |
| CES0500000001 | 2012 |  M11   | 112948 |           |
| CES0500000001 | 2012 |  M10   | 112769 |           |
| CES0500000001 | 2012 |  M09   | 112587 |           |
| CES0500000001 | 2012 |  M08   | 112413 |           |
| CES0500000001 | 2012 |  M07   | 112240 |           |
| CES0500000001 | 2012 |  M06   | 112078 |           |
| CES0500000001 | 2012 |  M05   | 112024 |           |
| CES0500000001 | 2012 |  M04   | 111897 |           |
| CES0500000001 | 2012 |  M03   | 111802 |           |
| CES0500000001 | 2012 |  M02   | 111574 |           |
| CES0500000001 | 2012 |  M01   | 111297 |           |
| CES0500000001 | 2011 |  M12   | 110948 |           |
| CES0500000001 | 2011 |  M11   | 110730 |           |
| CES0500000001 | 2011 |  M10   | 110559 |           |
| CES0500000001 | 2011 |  M09   | 110363 |           |
| CES0500000001 | 2011 |  M08   | 110106 |           |
| CES0500000001 | 2011 |  M07   | 109943 |           |
| CES0500000001 | 2011 |  M06   | 109772 |           |
| CES0500000001 | 2011 |  M05   | 109575 |           |
| CES0500000001 | 2011 |  M04   | 109420 |           |
| CES0500000001 | 2011 |  M03   | 109086 |           |
| CES0500000001 | 2011 |  M02   | 108839 |           |
| CES0500000001 | 2011 |  M01   | 108581 |           |
| CES0500000001 | 2010 |  M12   | 108570 |           |
| CES0500000001 | 2010 |  M11   | 108467 |           |
| CES0500000001 | 2010 |  M10   | 108323 |           |
| CES0500000001 | 2010 |  M09   | 108093 |           |
| CES0500000001 | 2010 |  M08   | 108003 |           |
| CES0500000001 | 2010 |  M07   | 107851 |           |
| CES0500000001 | 2010 |  M06   | 107761 |           |
| CES0500000001 | 2010 |  M05   | 107649 |           |
| CES0500000001 | 2010 |  M04   | 107546 |           |
| CES0500000001 | 2010 |  M03   | 107347 |           |
| CES0500000001 | 2010 |  M02   | 107226 |           |
| CES0500000001 | 2010 |  M01   | 107304 |           |
+---------------+------+--------+--------+-----------+
