+---------------+------+--------+-------+-----------+
|   series id   | year | period | value | footnotes |
+---------------+------+--------+-------+-----------+
| CES3000000001 | 2019 |  M12   | 12798 |           |
| CES3000000001 | 2019 |  M11   | 12816 |           |
| CES3000000001 | 2019 |  M10   | 12771 |           |
| CES3000000001 | 2019 |  M09   | 12825 |           |
| CES3000000001 | 2019 |  M08   | 12826 |           |
| CES3000000001 | 2019 |  M07   | 12827 |           |
| CES3000000001 | 2019 |  M06   | 12824 |           |
| CES3000000001 | 2019 |  M05   | 12818 |           |
| CES3000000001 | 2019 |  M04   | 12822 |           |
| CES3000000001 | 2019 |  M03   | 12825 |           |
| CES3000000001 | 2019 |  M02   | 12818 |           |
| CES3000000001 | 2019 |  M01   | 12828 |           |
| CES3000000001 | 2018 |  M12   | 12796 |           |
| CES3000000001 | 2018 |  M11   | 12777 |           |
| CES3000000001 | 2018 |  M10   | 12767 |           |
| CES3000000001 | 2018 |  M09   | 12744 |           |
| CES3000000001 | 2018 |  M08   | 12725 |           |
| CES3000000001 | 2018 |  M07   | 12711 |           |
| CES3000000001 | 2018 |  M06   | 12691 |           |
| CES3000000001 | 2018 |  M05   | 12657 |           |
| CES3000000001 | 2018 |  M04   | 12631 |           |
| CES3000000001 | 2018 |  M03   | 12610 |           |
| CES3000000001 | 2018 |  M02   | 12584 |           |
| CES3000000001 | 2018 |  M01   | 12561 |           |
| CES3000000001 | 2017 |  M12   | 12533 |           |
| CES3000000001 | 2017 |  M11   | 12505 |           |
| CES3000000001 | 2017 |  M10   | 12490 |           |
| CES3000000001 | 2017 |  M09   | 12477 |           |
| CES3000000001 | 2017 |  M08   | 12467 |           |
| CES3000000001 | 2017 |  M07   | 12423 |           |
| CES3000000001 | 2017 |  M06   | 12422 |           |
| CES3000000001 | 2017 |  M05   | 12409 |           |
| CES3000000001 | 2017 |  M04   | 12400 |           |
| CES3000000001 | 2017 |  M03   | 12393 |           |
| CES3000000001 | 2017 |  M02   | 12380 |           |
| CES3000000001 | 2017 |  M01   | 12366 |           |
| CES3000000001 | 2016 |  M12   | 12355 |           |
| CES3000000001 | 2016 |  M11   | 12342 |           |
| CES3000000001 | 2016 |  M10   | 12345 |           |
| CES3000000001 | 2016 |  M09   | 12347 |           |
| CES3000000001 | 2016 |  M08   | 12348 |           |
| CES3000000001 | 2016 |  M07   | 12372 |           |
| CES3000000001 | 2016 |  M06   | 12350 |           |
| CES3000000001 | 2016 |  M05   | 12332 |           |
| CES3000000001 | 2016 |  M04   | 12353 |           |
| CES3000000001 | 2016 |  M03   | 12342 |           |
| CES3000000001 | 2016 |  M02   | 12365 |           |
| CES3000000001 | 2016 |  M01   | 12383 |           |
| CES3000000001 | 2015 |  M12   | 12362 |           |
| CES3000000001 | 2015 |  M11   | 12357 |           |
| CES3000000001 | 2015 |  M10   | 12362 |           |
| CES3000000001 | 2015 |  M09   | 12354 |           |
| CES3000000001 | 2015 |  M08   | 12345 |           |
| CES3000000001 | 2015 |  M07   | 12349 |           |
| CES3000000001 | 2015 |  M06   | 12334 |           |
| CES3000000001 | 2015 |  M05   | 12333 |           |
| CES3000000001 | 2015 |  M04   | 12318 |           |
| CES3000000001 | 2015 |  M03   | 12312 |           |
| CES3000000001 | 2015 |  M02   | 12301 |           |
| CES3000000001 | 2015 |  M01   | 12292 |           |
| CES3000000001 | 2014 |  M12   | 12292 |           |
| CES3000000001 | 2014 |  M11   | 12284 |           |
| CES3000000001 | 2014 |  M10   | 12259 |           |
| CES3000000001 | 2014 |  M09   | 12226 |           |
| CES3000000001 | 2014 |  M08   | 12208 |           |
| CES3000000001 | 2014 |  M07   | 12189 |           |
| CES3000000001 | 2014 |  M06   | 12170 |           |
| CES3000000001 | 2014 |  M05   | 12146 |           |
| CES3000000001 | 2014 |  M04   | 12134 |           |
| CES3000000001 | 2014 |  M03   | 12120 |           |
| CES3000000001 | 2014 |  M02   | 12106 |           |
| CES3000000001 | 2014 |  M01   | 12081 |           |
| CES3000000001 | 2013 |  M12   | 12083 |           |
| CES3000000001 | 2013 |  M11   | 12079 |           |
| CES3000000001 | 2013 |  M10   | 12056 |           |
| CES3000000001 | 2013 |  M09   | 12032 |           |
| CES3000000001 | 2013 |  M08   | 12014 |           |
| CES3000000001 | 2013 |  M07   | 11984 |           |
| CES3000000001 | 2013 |  M06   | 12004 |           |
| CES3000000001 | 2013 |  M05   | 12000 |           |
| CES3000000001 | 2013 |  M04   | 12000 |           |
| CES3000000001 | 2013 |  M03   | 11999 |           |
| CES3000000001 | 2013 |  M02   | 11996 |           |
| CES3000000001 | 2013 |  M01   | 11983 |           |
| CES3000000001 | 2012 |  M12   | 11960 |           |
| CES3000000001 | 2012 |  M11   | 11950 |           |
| CES3000000001 | 2012 |  M10   | 11961 |           |
| CES3000000001 | 2012 |  M09   | 11954 |           |
| CES3000000001 | 2012 |  M08   | 11960 |           |
| CES3000000001 | 2012 |  M07   | 11964 |           |
| CES3000000001 | 2012 |  M06   | 11936 |           |
| CES3000000001 | 2012 |  M05   | 11927 |           |
| CES3000000001 | 2012 |  M04   | 11916 |           |
| CES3000000001 | 2012 |  M03   | 11898 |           |
| CES3000000001 | 2012 |  M02   | 11860 |           |
| CES3000000001 | 2012 |  M01   | 11838 |           |
| CES3000000001 | 2011 |  M12   | 11802 |           |
| CES3000000001 | 2011 |  M11   | 11770 |           |
| CES3000000001 | 2011 |  M10   | 11780 |           |
| CES3000000001 | 2011 |  M09   | 11769 |           |
| CES3000000001 | 2011 |  M08   | 11764 |           |
| CES3000000001 | 2011 |  M07   | 11746 |           |
| CES3000000001 | 2011 |  M06   | 11727 |           |
| CES3000000001 | 2011 |  M05   | 11713 |           |
| CES3000000001 | 2011 |  M04   | 11704 |           |
| CES3000000001 | 2011 |  M03   | 11675 |           |
| CES3000000001 | 2011 |  M02   | 11654 |           |
| CES3000000001 | 2011 |  M01   | 11621 |           |
| CES3000000001 | 2010 |  M12   | 11595 |           |
| CES3000000001 | 2010 |  M11   | 11585 |           |
| CES3000000001 | 2010 |  M10   | 11562 |           |
| CES3000000001 | 2010 |  M09   | 11563 |           |
| CES3000000001 | 2010 |  M08   | 11553 |           |
| CES3000000001 | 2010 |  M07   | 11561 |           |
| CES3000000001 | 2010 |  M06   | 11545 |           |
| CES3000000001 | 2010 |  M05   | 11525 |           |
| CES3000000001 | 2010 |  M04   | 11489 |           |
| CES3000000001 | 2010 |  M03   | 11453 |           |
| CES3000000001 | 2010 |  M02   | 11453 |           |
| CES3000000001 | 2010 |  M01   | 11460 |           |
+---------------+------+--------+-------+-----------+
