+--------------+------+--------+---------+-----------+
|  series id   | year | period |  value  | footnotes |
+--------------+------+--------+---------+-----------+
| CUSR0000SAM1 | 2019 |  M12   | 387.533 |           |
| CUSR0000SAM1 | 2019 |  M11   | 383.025 |           |
| CUSR0000SAM1 | 2019 |  M10   | 383.498 |           |
| CUSR0000SAM1 | 2019 |  M09   | 379.530 |           |
| CUSR0000SAM1 | 2019 |  M08   | 382.519 |           |
| CUSR0000SAM1 | 2019 |  M07   | 380.278 |           |
| CUSR0000SAM1 | 2019 |  M06   | 379.462 |           |
| CUSR0000SAM1 | 2019 |  M05   | 381.066 |           |
| CUSR0000SAM1 | 2019 |  M04   | 381.256 |           |
| CUSR0000SAM1 | 2019 |  M03   | 379.568 |           |
| CUSR0000SAM1 | 2019 |  M02   | 377.949 |           |
| CUSR0000SAM1 | 2019 |  M01   | 379.777 |           |
| CUSR0000SAM1 | 2018 |  M12   | 378.190 |           |
| CUSR0000SAM1 | 2018 |  M11   | 380.658 |           |
| CUSR0000SAM1 | 2018 |  M10   | 379.662 |           |
| CUSR0000SAM1 | 2018 |  M09   | 380.535 |           |
| CUSR0000SAM1 | 2018 |  M08   | 382.171 |           |
| CUSR0000SAM1 | 2018 |  M07   | 381.954 |           |
| CUSR0000SAM1 | 2018 |  M06   | 385.121 |           |
| CUSR0000SAM1 | 2018 |  M05   | 383.734 |           |
| CUSR0000SAM1 | 2018 |  M04   | 380.479 |           |
| CUSR0000SAM1 | 2018 |  M03   | 381.804 |           |
| CUSR0000SAM1 | 2018 |  M02   | 381.975 |           |
| CUSR0000SAM1 | 2018 |  M01   | 380.846 |           |
| CUSR0000SAM1 | 2017 |  M12   | 380.087 |           |
| CUSR0000SAM1 | 2017 |  M11   | 378.328 |           |
| CUSR0000SAM1 | 2017 |  M10   | 377.038 |           |
| CUSR0000SAM1 | 2017 |  M09   | 377.869 |           |
| CUSR0000SAM1 | 2017 |  M08   | 381.114 |           |
| CUSR0000SAM1 | 2017 |  M07   | 380.302 |           |
| CUSR0000SAM1 | 2017 |  M06   | 376.182 |           |
| CUSR0000SAM1 | 2017 |  M05   | 373.631 |           |
| CUSR0000SAM1 | 2017 |  M04   | 373.231 |           |
| CUSR0000SAM1 | 2017 |  M03   | 376.440 |           |
| CUSR0000SAM1 | 2017 |  M02   | 376.078 |           |
| CUSR0000SAM1 | 2017 |  M01   | 374.150 |           |
| CUSR0000SAM1 | 2016 |  M12   | 371.561 |           |
| CUSR0000SAM1 | 2016 |  M11   | 371.540 |           |
| CUSR0000SAM1 | 2016 |  M10   | 373.792 |           |
| CUSR0000SAM1 | 2016 |  M09   | 374.142 |           |
| CUSR0000SAM1 | 2016 |  M08   | 372.106 |           |
| CUSR0000SAM1 | 2016 |  M07   | 366.784 |           |
| CUSR0000SAM1 | 2016 |  M06   | 364.501 |           |
| CUSR0000SAM1 | 2016 |  M05   | 361.866 |           |
| CUSR0000SAM1 | 2016 |  M04   | 363.843 |           |
| CUSR0000SAM1 | 2016 |  M03   | 362.386 |           |
| CUSR0000SAM1 | 2016 |  M02   | 361.435 |           |
| CUSR0000SAM1 | 2016 |  M01   | 357.414 |           |
| CUSR0000SAM1 | 2015 |  M12   | 356.956 |           |
| CUSR0000SAM1 | 2015 |  M11   | 357.033 |           |
| CUSR0000SAM1 | 2015 |  M10   | 355.954 |           |
| CUSR0000SAM1 | 2015 |  M09   | 355.558 |           |
| CUSR0000SAM1 | 2015 |  M08   | 354.906 |           |
| CUSR0000SAM1 | 2015 |  M07   | 355.071 |           |
| CUSR0000SAM1 | 2015 |  M06   | 354.805 |           |
| CUSR0000SAM1 | 2015 |  M05   | 355.061 |           |
| CUSR0000SAM1 | 2015 |  M04   | 353.849 |           |
| CUSR0000SAM1 | 2015 |  M03   | 353.232 |           |
| CUSR0000SAM1 | 2015 |  M02   | 352.412 |           |
| CUSR0000SAM1 | 2015 |  M01   | 350.879 |           |
| CUSR0000SAM1 | 2014 |  M12   | 351.841 |           |
| CUSR0000SAM1 | 2014 |  M11   | 348.385 |           |
| CUSR0000SAM1 | 2014 |  M10   | 346.426 |           |
| CUSR0000SAM1 | 2014 |  M09   | 345.900 |           |
| CUSR0000SAM1 | 2014 |  M08   | 344.142 |           |
| CUSR0000SAM1 | 2014 |  M07   | 344.584 |           |
| CUSR0000SAM1 | 2014 |  M06   | 343.429 |           |
| CUSR0000SAM1 | 2014 |  M05   | 341.480 |           |
| CUSR0000SAM1 | 2014 |  M04   | 340.115 |           |
| CUSR0000SAM1 | 2014 |  M03   | 338.579 |           |
| CUSR0000SAM1 | 2014 |  M02   | 338.846 |           |
| CUSR0000SAM1 | 2014 |  M01   | 337.509 |           |
| CUSR0000SAM1 | 2013 |  M12   | 335.662 |           |
| CUSR0000SAM1 | 2013 |  M11   | 337.635 |           |
| CUSR0000SAM1 | 2013 |  M10   | 337.573 |           |
| CUSR0000SAM1 | 2013 |  M09   | 336.195 |           |
| CUSR0000SAM1 | 2013 |  M08   | 335.525 |           |
| CUSR0000SAM1 | 2013 |  M07   | 334.553 |           |
| CUSR0000SAM1 | 2013 |  M06   | 334.098 |           |
| CUSR0000SAM1 | 2013 |  M05   | 333.238 |           |
| CUSR0000SAM1 | 2013 |  M04   | 334.512 |           |
| CUSR0000SAM1 | 2013 |  M03   | 334.216 |           |
| CUSR0000SAM1 | 2013 |  M02   | 333.152 |           |
| CUSR0000SAM1 | 2013 |  M01   | 334.758 |           |
| CUSR0000SAM1 | 2012 |  M12   | 334.536 |           |
| CUSR0000SAM1 | 2012 |  M11   | 335.042 |           |
| CUSR0000SAM1 | 2012 |  M10   | 336.046 |           |
| CUSR0000SAM1 | 2012 |  M09   | 335.625 |           |
| CUSR0000SAM1 | 2012 |  M08   | 335.928 |           |
| CUSR0000SAM1 | 2012 |  M07   | 335.101 |           |
| CUSR0000SAM1 | 2012 |  M06   | 333.443 |           |
| CUSR0000SAM1 | 2012 |  M05   | 332.691 |           |
| CUSR0000SAM1 | 2012 |  M04   | 331.999 |           |
| CUSR0000SAM1 | 2012 |  M03   | 332.040 |           |
| CUSR0000SAM1 | 2012 |  M02   | 330.771 |           |
| CUSR0000SAM1 | 2012 |  M01   | 329.815 |           |
| CUSR0000SAM1 | 2011 |  M12   | 328.841 |           |
| CUSR0000SAM1 | 2011 |  M11   | 327.387 |           |
| CUSR0000SAM1 | 2011 |  M10   | 326.375 |           |
| CUSR0000SAM1 | 2011 |  M09   | 325.278 |           |
| CUSR0000SAM1 | 2011 |  M08   | 324.642 |           |
| CUSR0000SAM1 | 2011 |  M07   | 324.442 |           |
| CUSR0000SAM1 | 2011 |  M06   | 324.134 |           |
| CUSR0000SAM1 | 2011 |  M05   | 323.766 |           |
| CUSR0000SAM1 | 2011 |  M04   | 322.984 |           |
| CUSR0000SAM1 | 2011 |  M03   | 321.400 |           |
| CUSR0000SAM1 | 2011 |  M02   | 320.215 |           |
| CUSR0000SAM1 | 2011 |  M01   | 319.314 |           |
| CUSR0000SAM1 | 2010 |  M12   | 318.516 |           |
| CUSR0000SAM1 | 2010 |  M11   | 317.612 |           |
| CUSR0000SAM1 | 2010 |  M10   | 316.646 |           |
| CUSR0000SAM1 | 2010 |  M09   | 316.177 |           |
| CUSR0000SAM1 | 2010 |  M08   | 315.394 |           |
| CUSR0000SAM1 | 2010 |  M07   | 314.622 |           |
| CUSR0000SAM1 | 2010 |  M06   | 314.995 |           |
| CUSR0000SAM1 | 2010 |  M05   | 314.192 |           |
| CUSR0000SAM1 | 2010 |  M04   | 313.219 |           |
| CUSR0000SAM1 | 2010 |  M03   | 312.658 |           |
| CUSR0000SAM1 | 2010 |  M02   | 311.761 |           |
| CUSR0000SAM1 | 2010 |  M01   | 310.591 |           |
+--------------+------+--------+---------+-----------+
