+----------------+------+--------+---------+-----------+
|   series id    | year | period |  value  | footnotes |
+----------------+------+--------+---------+-----------+
| CUUR0000SA0L1E | 2019 |  M12   | 264.935 |           |
| CUUR0000SA0L1E | 2019 |  M11   | 265.108 |           |
| CUUR0000SA0L1E | 2019 |  M10   | 265.059 |           |
| CUUR0000SA0L1E | 2019 |  M09   | 264.522 |           |
| CUUR0000SA0L1E | 2019 |  M08   | 264.169 |           |
| CUUR0000SA0L1E | 2019 |  M07   | 263.566 |           |
| CUUR0000SA0L1E | 2019 |  M06   | 263.177 |           |
| CUUR0000SA0L1E | 2019 |  M05   | 262.590 |           |
| CUUR0000SA0L1E | 2019 |  M04   | 262.332 |           |
| CUUR0000SA0L1E | 2019 |  M03   | 261.836 |           |
| CUUR0000SA0L1E | 2019 |  M02   | 261.114 |           |
| CUUR0000SA0L1E | 2019 |  M01   | 260.122 |           |
| CUUR0000SA0L1E | 2018 |  M12   | 259.083 |           |
| CUUR0000SA0L1E | 2018 |  M11   | 259.105 |           |
| CUUR0000SA0L1E | 2018 |  M10   | 259.063 |           |
| CUUR0000SA0L1E | 2018 |  M09   | 258.429 |           |
| CUUR0000SA0L1E | 2018 |  M08   | 258.012 |           |
| CUUR0000SA0L1E | 2018 |  M07   | 257.867 |           |
| CUUR0000SA0L1E | 2018 |  M06   | 257.697 |           |
| CUUR0000SA0L1E | 2018 |  M05   | 257.469 |           |
| CUUR0000SA0L1E | 2018 |  M04   | 257.025 |           |
| CUUR0000SA0L1E | 2018 |  M03   | 256.610 |           |
| CUUR0000SA0L1E | 2018 |  M02   | 255.783 |           |
| CUUR0000SA0L1E | 2018 |  M01   | 254.638 |           |
| CUUR0000SA0L1E | 2017 |  M12   | 253.558 |           |
| CUUR0000SA0L1E | 2017 |  M11   | 253.492 |           |
| CUUR0000SA0L1E | 2017 |  M10   | 253.638 |           |
| CUUR0000SA0L1E | 2017 |  M09   | 252.941 |           |
| CUUR0000SA0L1E | 2017 |  M08   | 252.460 |           |
| CUUR0000SA0L1E | 2017 |  M07   | 251.936 |           |
| CUUR0000SA0L1E | 2017 |  M06   | 252.014 |           |
| CUUR0000SA0L1E | 2017 |  M05   | 251.835 |           |
| CUUR0000SA0L1E | 2017 |  M04   | 251.642 |           |
| CUUR0000SA0L1E | 2017 |  M03   | 251.290 |           |
| CUUR0000SA0L1E | 2017 |  M02   | 251.143 |           |
| CUUR0000SA0L1E | 2017 |  M01   | 250.083 |           |
| CUUR0000SA0L1E | 2016 |  M12   | 249.134 |           |
| CUUR0000SA0L1E | 2016 |  M11   | 249.227 |           |
| CUUR0000SA0L1E | 2016 |  M10   | 249.218 |           |
| CUUR0000SA0L1E | 2016 |  M09   | 248.731 |           |
| CUUR0000SA0L1E | 2016 |  M08   | 248.278 |           |
| CUUR0000SA0L1E | 2016 |  M07   | 247.744 |           |
| CUUR0000SA0L1E | 2016 |  M06   | 247.794 |           |
| CUUR0000SA0L1E | 2016 |  M05   | 247.544 |           |
| CUUR0000SA0L1E | 2016 |  M04   | 246.992 |           |
| CUUR0000SA0L1E | 2016 |  M03   | 246.358 |           |
| CUUR0000SA0L1E | 2016 |  M02   | 245.680 |           |
| CUUR0000SA0L1E | 2016 |  M01   | 244.528 |           |
| CUUR0000SA0L1E | 2015 |  M12   | 243.779 |           |
| CUUR0000SA0L1E | 2015 |  M11   | 244.075 |           |
| CUUR0000SA0L1E | 2015 |  M10   | 243.985 |           |
| CUUR0000SA0L1E | 2015 |  M09   | 243.359 |           |
| CUUR0000SA0L1E | 2015 |  M08   | 242.651 |           |
| CUUR0000SA0L1E | 2015 |  M07   | 242.436 |           |
| CUUR0000SA0L1E | 2015 |  M06   | 242.354 |           |
| CUUR0000SA0L1E | 2015 |  M05   | 242.119 |           |
| CUUR0000SA0L1E | 2015 |  M04   | 241.802 |           |
| CUUR0000SA0L1E | 2015 |  M03   | 241.067 |           |
| CUUR0000SA0L1E | 2015 |  M02   | 240.083 |           |
| CUUR0000SA0L1E | 2015 |  M01   | 239.248 |           |
| CUUR0000SA0L1E | 2014 |  M12   | 238.775 |           |
| CUUR0000SA0L1E | 2014 |  M11   | 239.248 |           |
| CUUR0000SA0L1E | 2014 |  M10   | 239.413 |           |
| CUUR0000SA0L1E | 2014 |  M09   | 238.841 |           |
| CUUR0000SA0L1E | 2014 |  M08   | 238.296 |           |
| CUUR0000SA0L1E | 2014 |  M07   | 238.138 |           |
| CUUR0000SA0L1E | 2014 |  M06   | 238.157 |           |
| CUUR0000SA0L1E | 2014 |  M05   | 238.029 |           |
| CUUR0000SA0L1E | 2014 |  M04   | 237.509 |           |
| CUUR0000SA0L1E | 2014 |  M03   | 236.913 |           |
| CUUR0000SA0L1E | 2014 |  M02   | 236.075 |           |
| CUUR0000SA0L1E | 2014 |  M01   | 235.367 |           |
| CUUR0000SA0L1E | 2013 |  M12   | 235.000 |           |
| CUUR0000SA0L1E | 2013 |  M11   | 235.243 |           |
| CUUR0000SA0L1E | 2013 |  M10   | 235.162 |           |
| CUUR0000SA0L1E | 2013 |  M09   | 234.782 |           |
| CUUR0000SA0L1E | 2013 |  M08   | 234.258 |           |
| CUUR0000SA0L1E | 2013 |  M07   | 233.792 |           |
| CUUR0000SA0L1E | 2013 |  M06   | 233.640 |           |
| CUUR0000SA0L1E | 2013 |  M05   | 233.462 |           |
| CUUR0000SA0L1E | 2013 |  M04   | 233.236 |           |
| CUUR0000SA0L1E | 2013 |  M03   | 233.052 |           |
| CUUR0000SA0L1E | 2013 |  M02   | 232.432 |           |
| CUUR0000SA0L1E | 2013 |  M01   | 231.612 |           |
| CUUR0000SA0L1E | 2012 |  M12   | 231.033 |           |
| CUUR0000SA0L1E | 2012 |  M11   | 231.263 |           |
| CUUR0000SA0L1E | 2012 |  M10   | 231.276 |           |
| CUUR0000SA0L1E | 2012 |  M09   | 230.780 |           |
| CUUR0000SA0L1E | 2012 |  M08   | 230.196 |           |
| CUUR0000SA0L1E | 2012 |  M07   | 229.893 |           |
| CUUR0000SA0L1E | 2012 |  M06   | 229.879 |           |
| CUUR0000SA0L1E | 2012 |  M05   | 229.602 |           |
| CUUR0000SA0L1E | 2012 |  M04   | 229.303 |           |
| CUUR0000SA0L1E | 2012 |  M03   | 228.735 |           |
| CUUR0000SA0L1E | 2012 |  M02   | 227.865 |           |
| CUUR0000SA0L1E | 2012 |  M01   | 227.237 |           |
| CUUR0000SA0L1E | 2011 |  M12   | 226.740 |           |
| CUUR0000SA0L1E | 2011 |  M11   | 226.859 |           |
| CUUR0000SA0L1E | 2011 |  M10   | 226.743 |           |
| CUUR0000SA0L1E | 2011 |  M09   | 226.289 |           |
| CUUR0000SA0L1E | 2011 |  M08   | 225.874 |           |
| CUUR0000SA0L1E | 2011 |  M07   | 225.164 |           |
| CUUR0000SA0L1E | 2011 |  M06   | 224.891 |           |
| CUUR0000SA0L1E | 2011 |  M05   | 224.534 |           |
| CUUR0000SA0L1E | 2011 |  M04   | 224.118 |           |
| CUUR0000SA0L1E | 2011 |  M03   | 223.690 |           |
| CUUR0000SA0L1E | 2011 |  M02   | 223.011 |           |
| CUUR0000SA0L1E | 2011 |  M01   | 222.177 |           |
| CUUR0000SA0L1E | 2010 |  M12   | 221.795 |           |
| CUUR0000SA0L1E | 2010 |  M11   | 222.077 |           |
| CUUR0000SA0L1E | 2010 |  M10   | 222.079 |           |
| CUUR0000SA0L1E | 2010 |  M09   | 221.907 |           |
| CUUR0000SA0L1E | 2010 |  M08   | 221.551 |           |
| CUUR0000SA0L1E | 2010 |  M07   | 221.258 |           |
| CUUR0000SA0L1E | 2010 |  M06   | 221.265 |           |
| CUUR0000SA0L1E | 2010 |  M05   | 221.193 |           |
| CUUR0000SA0L1E | 2010 |  M04   | 221.166 |           |
| CUUR0000SA0L1E | 2010 |  M03   | 221.059 |           |
| CUUR0000SA0L1E | 2010 |  M02   | 220.602 |           |
| CUUR0000SA0L1E | 2010 |  M01   | 220.086 |           |
+----------------+------+--------+---------+-----------+
