+--------------+------+--------+---------+-----------+
|  series id   | year | period |  value  | footnotes |
+--------------+------+--------+---------+-----------+
| CUUR0000SAM1 | 2019 |  M12   | 387.533 |           |
| CUUR0000SAM1 | 2019 |  M11   | 383.025 |           |
| CUUR0000SAM1 | 2019 |  M10   | 383.498 |           |
| CUUR0000SAM1 | 2019 |  M09   | 379.530 |           |
| CUUR0000SAM1 | 2019 |  M08   | 382.519 |           |
| CUUR0000SAM1 | 2019 |  M07   | 380.278 |           |
| CUUR0000SAM1 | 2019 |  M06   | 379.462 |           |
| CUUR0000SAM1 | 2019 |  M05   | 381.066 |           |
| CUUR0000SAM1 | 2019 |  M04   | 381.256 |           |
| CUUR0000SAM1 | 2019 |  M03   | 379.568 |           |
| CUUR0000SAM1 | 2019 |  M02   | 377.949 |           |
| CUUR0000SAM1 | 2019 |  M01   | 379.777 |           |
| CUUR0000SAM1 | 2018 |  M12   | 378.190 |           |
| CUUR0000SAM1 | 2018 |  M11   | 380.658 |           |
| CUUR0000SAM1 | 2018 |  M10   | 379.662 |           |
| CUUR0000SAM1 | 2018 |  M09   | 380.535 |           |
| CUUR0000SAM1 | 2018 |  M08   | 382.171 |           |
| CUUR0000SAM1 | 2018 |  M07   | 381.954 |           |
| CUUR0000SAM1 | 2018 |  M06   | 385.121 |           |
| CUUR0000SAM1 | 2018 |  M05   | 383.734 |           |
| CUUR0000SAM1 | 2018 |  M04   | 380.479 |           |
| CUUR0000SAM1 | 2018 |  M03   | 381.804 |           |
| CUUR0000SAM1 | 2018 |  M02   | 381.975 |           |
| CUUR0000SAM1 | 2018 |  M01   | 380.846 |           |
| CUUR0000SAM1 | 2017 |  M12   | 380.087 |           |
| CUUR0000SAM1 | 2017 |  M11   | 378.328 |           |
| CUUR0000SAM1 | 2017 |  M10   | 377.038 |           |
| CUUR0000SAM1 | 2017 |  M09   | 377.869 |           |
| CUUR0000SAM1 | 2017 |  M08   | 381.114 |           |
| CUUR0000SAM1 | 2017 |  M07   | 380.302 |           |
| CUUR0000SAM1 | 2017 |  M06   | 376.182 |           |
| CUUR0000SAM1 | 2017 |  M05   | 373.631 |           |
| CUUR0000SAM1 | 2017 |  M04   | 373.231 |           |
| CUUR0000SAM1 | 2017 |  M03   | 376.440 |           |
| CUUR0000SAM1 | 2017 |  M02   | 376.078 |           |
| CUUR0000SAM1 | 2017 |  M01   | 374.150 |           |
| CUUR0000SAM1 | 2016 |  M12   | 371.561 |           |
| CUUR0000SAM1 | 2016 |  M11   | 371.540 |           |
| CUUR0000SAM1 | 2016 |  M10   | 373.792 |           |
