+----------------+------+--------+---------+-----------+
|   series id    | year | period |  value  | footnotes |
+----------------+------+--------+---------+-----------+
| CUUR0000SEMC01 | 2019 |  M12   | 385.092 |           |
| CUUR0000SEMC01 | 2019 |  M11   | 385.010 |           |
| CUUR0000SEMC01 | 2019 |  M10   | 384.901 |           |
| CUUR0000SEMC01 | 2019 |  M09   | 384.454 |           |
| CUUR0000SEMC01 | 2019 |  M08   | 382.858 |           |
| CUUR0000SEMC01 | 2019 |  M07   | 383.047 |           |
| CUUR0000SEMC01 | 2019 |  M06   | 382.702 |           |
| CUUR0000SEMC01 | 2019 |  M05   | 382.436 |           |
| CUUR0000SEMC01 | 2019 |  M04   | 382.150 |           |
| CUUR0000SEMC01 | 2019 |  M03   | 381.045 |           |
| CUUR0000SEMC01 | 2019 |  M02   | 383.009 |           |
| CUUR0000SEMC01 | 2019 |  M01   | 382.032 |           |
| CUUR0000SEMC01 | 2018 |  M12   | 379.885 |           |
| CUUR0000SEMC01 | 2018 |  M11   | 379.872 |           |
| CUUR0000SEMC01 | 2018 |  M10   | 380.489 |           |
| CUUR0000SEMC01 | 2018 |  M09   | 380.928 |           |
| CUUR0000SEMC01 | 2018 |  M08   | 380.143 |           |
| CUUR0000SEMC01 | 2018 |  M07   | 380.404 |           |
| CUUR0000SEMC01 | 2018 |  M06   | 380.991 |           |
| CUUR0000SEMC01 | 2018 |  M05   | 381.309 |           |
| CUUR0000SEMC01 | 2018 |  M04   | 381.076 |           |
| CUUR0000SEMC01 | 2018 |  M03   | 380.766 |           |
| CUUR0000SEMC01 | 2018 |  M02   | 380.470 |           |
| CUUR0000SEMC01 | 2018 |  M01   | 379.077 |           |
| CUUR0000SEMC01 | 2017 |  M12   | 377.734 |           |
| CUUR0000SEMC01 | 2017 |  M11   | 377.037 |           |
| CUUR0000SEMC01 | 2017 |  M10   | 379.072 |           |
| CUUR0000SEMC01 | 2017 |  M09   | 379.169 |           |
| CUUR0000SEMC01 | 2017 |  M08   | 378.990 |           |
