+-------------+------+--------+--------+-----------+
|  series id  | year | period | value  | footnotes |
+-------------+------+--------+--------+-----------+
| LNS12035019 | 2019 |  M12   | 156202 |           |
| LNS12035019 | 2019 |  M11   | 156156 |           |
| LNS12035019 | 2019 |  M10   | 156103 |           |
| LNS12035019 | 2019 |  M09   | 156021 |           |
| LNS12035019 | 2019 |  M08   | 155642 |           |
| LNS12035019 | 2019 |  M07   | 155248 |           |
| LNS12035019 | 2019 |  M06   | 155028 |           |
| LNS12035019 | 2019 |  M05   | 154495 |           |
| LNS12035019 | 2019 |  M04   | 154308 |           |
| LNS12035019 | 2019 |  M03   | 154191 |           |
| LNS12035019 | 2019 |  M02   | 154223 |           |
| LNS12035019 | 2019 |  M01   | 153853 |           |
| LNS12035019 | 2018 |  M12   | 154281 |           |
| LNS12035019 | 2018 |  M11   | 154112 |           |
| LNS12035019 | 2018 |  M10   | 154033 |           |
| LNS12035019 | 2018 |  M09   | 153598 |           |
| LNS12035019 | 2018 |  M08   | 153274 |           |
| LNS12035019 | 2018 |  M07   | 153603 |           |
| LNS12035019 | 2018 |  M06   | 153405 |           |
| LNS12035019 | 2018 |  M05   | 153310 |           |
| LNS12035019 | 2018 |  M04   | 152996 |           |
| LNS12035019 | 2018 |  M03   | 152722 |           |
| LNS12035019 | 2018 |  M02   | 152655 |           |
| LNS12035019 | 2018 |  M01   | 151976 |           |
| LNS12035019 | 2017 |  M12   | 151450 |           |
| LNS12035019 | 2017 |  M11   | 151384 |           |
| LNS12035019 | 2017 |  M10   | 151244 |           |
| LNS12035019 | 2017 |  M09   | 152122 |           |
| LNS12035019 | 2017 |  M08   | 151240 |           |
| LNS12035019 | 2017 |  M07   | 151161 |           |
| LNS12035019 | 2017 |  M06   | 150879 |           |
| LNS12035019 | 2017 |  M05   | 150519 |           |
| LNS12035019 | 2017 |  M04   | 150527 |           |
| LNS12035019 | 2017 |  M03   | 150377 |           |
| LNS12035019 | 2017 |  M02   | 149929 |           |
| LNS12035019 | 2017 |  M01   | 149725 |           |
| LNS12035019 | 2016 |  M12   | 149817 |           |
| LNS12035019 | 2016 |  M11   | 149730 |           |
| LNS12035019 | 2016 |  M10   | 149511 |           |
| LNS12035019 | 2016 |  M09   | 149500 |           |
| LNS12035019 | 2016 |  M08   | 149242 |           |
| LNS12035019 | 2016 |  M07   | 149055 |           |
| LNS12035019 | 2016 |  M06   | 148699 |           |
| LNS12035019 | 2016 |  M05   | 148614 |           |
| LNS12035019 | 2016 |  M04   | 148417 |           |
| LNS12035019 | 2016 |  M03   | 148439 |           |
| LNS12035019 | 2016 |  M02   | 148460 |           |
| LNS12035019 | 2016 |  M01   | 148228 |           |
| LNS12035019 | 2015 |  M12   | 147674 |           |
| LNS12035019 | 2015 |  M11   | 147200 |           |
| LNS12035019 | 2015 |  M10   | 146845 |           |
| LNS12035019 | 2015 |  M09   | 146588 |           |
| LNS12035019 | 2015 |  M08   | 146852 |           |
| LNS12035019 | 2015 |  M07   | 146368 |           |
| LNS12035019 | 2015 |  M06   | 146258 |           |
| LNS12035019 | 2015 |  M05   | 146466 |           |
| LNS12035019 | 2015 |  M04   | 146069 |           |
| LNS12035019 | 2015 |  M03   | 145458 |           |
| LNS12035019 | 2015 |  M02   | 145626 |           |
| LNS12035019 | 2015 |  M01   | 145614 |           |
| LNS12035019 | 2014 |  M12   | 145229 |           |
| LNS12035019 | 2014 |  M11   | 145113 |           |
| LNS12035019 | 2014 |  M10   | 144989 |           |
| LNS12035019 | 2014 |  M09   | 144502 |           |
| LNS12035019 | 2014 |  M08   | 144303 |           |
| LNS12035019 | 2014 |  M07   | 144188 |           |
| LNS12035019 | 2014 |  M06   | 144084 |           |
| LNS12035019 | 2014 |  M05   | 143778 |           |
| LNS12035019 | 2014 |  M04   | 143512 |           |
| LNS12035019 | 2014 |  M03   | 143393 |           |
| LNS12035019 | 2014 |  M02   | 143024 |           |
| LNS12035019 | 2014 |  M01   | 142852 |           |
| LNS12035019 | 2013 |  M12   | 142561 |           |
| LNS12035019 | 2013 |  M11   | 142463 |           |
| LNS12035019 | 2013 |  M10   | 141411 |           |
| LNS12035019 | 2013 |  M09   | 142304 |           |
| LNS12035019 | 2013 |  M08   | 142154 |           |
| LNS12035019 | 2013 |  M07   | 142079 |           |
| LNS12035019 | 2013 |  M06   | 141896 |           |
| LNS12035019 | 2013 |  M05   | 141758 |           |
| LNS12035019 | 2013 |  M04   | 141557 |           |
| LNS12035019 | 2013 |  M03   | 141192 |           |
| LNS12035019 | 2013 |  M02   | 141299 |           |
| LNS12035019 | 2013 |  M01   | 141124 |           |
| LNS12035019 | 2012 |  M12   | 141284 |           |
| LNS12035019 | 2012 |  M11   | 141224 |           |
| LNS12035019 | 2012 |  M10   | 141387 |           |
| LNS12035019 | 2012 |  M09   | 140912 |           |
| LNS12035019 | 2012 |  M08   | 140107 |           |
| LNS12035019 | 2012 |  M07   | 140013 |           |
| LNS12035019 | 2012 |  M06   | 140160 |           |
| LNS12035019 | 2012 |  M05   | 139915 |           |
| LNS12035019 | 2012 |  M04   | 139682 |           |
| LNS12035019 | 2012 |  M03   | 139800 |           |
| LNS12035019 | 2012 |  M02   | 139718 |           |
| LNS12035019 | 2012 |  M01   | 139382 |           |
| LNS12035019 | 2011 |  M12   | 138568 |           |
| LNS12035019 | 2011 |  M11   | 138571 |           |
| LNS12035019 | 2011 |  M10   | 138285 |           |
| LNS12035019 | 2011 |  M09   | 137963 |           |
| LNS12035019 | 2011 |  M08   | 137507 |           |
| LNS12035019 | 2011 |  M07   | 137204 |           |
| LNS12035019 | 2011 |  M06   | 137061 |           |
| LNS12035019 | 2011 |  M05   | 137356 |           |
| LNS12035019 | 2011 |  M04   | 137420 |           |
