+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNS14000006 | 2019 |  M12   |  6.0  |           |
| LNS14000006 | 2019 |  M11   |  5.5  |           |
| LNS14000006 | 2019 |  M10   |  5.5  |           |
| LNS14000006 | 2019 |  M09   |  5.3  |           |
| LNS14000006 | 2019 |  M08   |  5.3  |           |
| LNS14000006 | 2019 |  M07   |  5.7  |           |
| LNS14000006 | 2019 |  M06   |  5.8  |           |
| LNS14000006 | 2019 |  M05   |  6.1  |           |
| LNS14000006 | 2019 |  M04   |  6.7  |           |
| LNS14000006 | 2019 |  M03   |  6.7  |           |
| LNS14000006 | 2019 |  M02   |  7.2  |           |
| LNS14000006 | 2019 |  M01   |  7.0  |           |
| LNS14000006 | 2018 |  M12   |  6.6  |           |
| LNS14000006 | 2018 |  M11   |  6.1  |           |
| LNS14000006 | 2018 |  M10   |  6.5  |           |
| LNS14000006 | 2018 |  M09   |  6.1  |           |
| LNS14000006 | 2018 |  M08   |  6.3  |           |
| LNS14000006 | 2018 |  M07   |  6.5  |           |
| LNS14000006 | 2018 |  M06   |  6.4  |           |
| LNS14000006 | 2018 |  M05   |  5.9  |           |
| LNS14000006 | 2018 |  M04   |  6.4  |           |
| LNS14000006 | 2018 |  M03   |  6.7  |           |
| LNS14000006 | 2018 |  M02   |  6.8  |           |
| LNS14000006 | 2018 |  M01   |  7.5  |           |
| LNS14000006 | 2017 |  M12   |  6.7  |           |
| LNS14000006 | 2017 |  M11   |  7.5  |           |
| LNS14000006 | 2017 |  M10   |  7.6  |           |
| LNS14000006 | 2017 |  M09   |  7.2  |           |
| LNS14000006 | 2017 |  M08   |  7.7  |           |
| LNS14000006 | 2017 |  M07   |  7.3  |           |
| LNS14000006 | 2017 |  M06   |  6.9  |           |
| LNS14000006 | 2017 |  M05   |  7.7  |           |
| LNS14000006 | 2017 |  M04   |  7.7  |           |
| LNS14000006 | 2017 |  M03   |  7.8  |           |
| LNS14000006 | 2017 |  M02   |  8.0  |           |
| LNS14000006 | 2017 |  M01   |  7.5  |           |
| LNS14000006 | 2016 |  M12   |  8.0  |           |
| LNS14000006 | 2016 |  M11   |  8.2  |           |
| LNS14000006 | 2016 |  M10   |  8.5  |           |
| LNS14000006 | 2016 |  M09   |  8.5  |           |
| LNS14000006 | 2016 |  M08   |  8.0  |           |
| LNS14000006 | 2016 |  M07   |  8.2  |           |
| LNS14000006 | 2016 |  M06   |  8.7  |           |
| LNS14000006 | 2016 |  M05   |  8.2  |           |
| LNS14000006 | 2016 |  M04   |  8.8  |           |
| LNS14000006 | 2016 |  M03   |  8.9  |           |
| LNS14000006 | 2016 |  M02   |  8.6  |           |
| LNS14000006 | 2016 |  M01   |  8.5  |           |
| LNS14000006 | 2015 |  M12   |  8.5  |           |
| LNS14000006 | 2015 |  M11   |  9.4  |           |
| LNS14000006 | 2015 |  M10   |  9.0  |           |
| LNS14000006 | 2015 |  M09   |  9.3  |           |
| LNS14000006 | 2015 |  M08   |  9.4  |           |
| LNS14000006 | 2015 |  M07   |  9.1  |           |
| LNS14000006 | 2015 |  M06   |  9.7  |           |
| LNS14000006 | 2015 |  M05   |  10.3 |           |
| LNS14000006 | 2015 |  M04   |  9.7  |           |
| LNS14000006 | 2015 |  M03   |  9.9  |           |
| LNS14000006 | 2015 |  M02   |  10.1 |           |
| LNS14000006 | 2015 |  M01   |  10.3 |           |
| LNS14000006 | 2014 |  M12   |  10.6 |           |
| LNS14000006 | 2014 |  M11   |  10.9 |           |
| LNS14000006 | 2014 |  M10   |  10.6 |           |
| LNS14000006 | 2014 |  M09   |  11.0 |           |
| LNS14000006 | 2014 |  M08   |  11.4 |           |
| LNS14000006 | 2014 |  M07   |  11.6 |           |
| LNS14000006 | 2014 |  M06   |  11.0 |           |
| LNS14000006 | 2014 |  M05   |  11.4 |           |
| LNS14000006 | 2014 |  M04   |  11.6 |           |
| LNS14000006 | 2014 |  M03   |  12.1 |           |
| LNS14000006 | 2014 |  M02   |  11.8 |           |
| LNS14000006 | 2014 |  M01   |  12.1 |           |
| LNS14000006 | 2013 |  M12   |  11.9 |           |
| LNS14000006 | 2013 |  M11   |  12.3 |           |
| LNS14000006 | 2013 |  M10   |  12.8 |           |
| LNS14000006 | 2013 |  M09   |  13.0 |           |
| LNS14000006 | 2013 |  M08   |  12.8 |           |
| LNS14000006 | 2013 |  M07   |  12.6 |           |
| LNS14000006 | 2013 |  M06   |  14.2 |           |
| LNS14000006 | 2013 |  M05   |  13.4 |           |
| LNS14000006 | 2013 |  M04   |  13.3 |           |
| LNS14000006 | 2013 |  M03   |  13.0 |           |
| LNS14000006 | 2013 |  M02   |  13.8 |           |
| LNS14000006 | 2013 |  M01   |  13.7 |           |
| LNS14000006 | 2012 |  M12   |  14.0 |           |
| LNS14000006 | 2012 |  M11   |  13.3 |           |
| LNS14000006 | 2012 |  M10   |  14.1 |           |
| LNS14000006 | 2012 |  M09   |  13.6 |           |
| LNS14000006 | 2012 |  M08   |  13.8 |           |
| LNS14000006 | 2012 |  M07   |  14.2 |           |
| LNS14000006 | 2012 |  M06   |  14.5 |           |
| LNS14000006 | 2012 |  M05   |  13.5 |           |
| LNS14000006 | 2012 |  M04   |  13.3 |           |
| LNS14000006 | 2012 |  M03   |  14.0 |           |
| LNS14000006 | 2012 |  M02   |  14.0 |           |
| LNS14000006 | 2012 |  M01   |  13.6 |           |
| LNS14000006 | 2011 |  M12   |  15.4 |           |
| LNS14000006 | 2011 |  M11   |  15.6 |           |
| LNS14000006 | 2011 |  M10   |  14.6 |           |
| LNS14000006 | 2011 |  M09   |  15.9 |           |
| LNS14000006 | 2011 |  M08   |  16.4 |           |
| LNS14000006 | 2011 |  M07   |  15.9 |           |
| LNS14000006 | 2011 |  M06   |  16.2 |           |
| LNS14000006 | 2011 |  M05   |  16.3 |           |
| LNS14000006 | 2011 |  M04   |  16.5 |           |
| LNS14000006 | 2011 |  M03   |  15.8 |           |
| LNS14000006 | 2011 |  M02   |  15.5 |           |
| LNS14000006 | 2011 |  M01   |  15.8 |           |
| LNS14000006 | 2010 |  M12   |  15.5 |           |
| LNS14000006 | 2010 |  M11   |  16.2 |           |
| LNS14000006 | 2010 |  M10   |  15.6 |           |
| LNS14000006 | 2010 |  M09   |  16.0 |           |
| LNS14000006 | 2010 |  M08   |  15.9 |           |
| LNS14000006 | 2010 |  M07   |  15.6 |           |
| LNS14000006 | 2010 |  M06   |  15.2 |           |
| LNS14000006 | 2010 |  M05   |  15.5 |           |
| LNS14000006 | 2010 |  M04   |  16.6 |           |
| LNS14000006 | 2010 |  M03   |  16.8 |           |
| LNS14000006 | 2010 |  M02   |  16.1 |           |
| LNS14000006 | 2010 |  M01   |  16.5 |           |
+-------------+------+--------+-------+-----------+
