+-----------------+------+--------+-------+-----------+
|    series id    | year | period | value | footnotes |
+-----------------+------+--------+-------+-----------+
| PCU327320327320 | 2019 |  M12   | 283.7 |           |
| PCU327320327320 | 2019 |  M11   | 284.9 |           |
| PCU327320327320 | 2019 |  M10   | 285.3 |           |
| PCU327320327320 | 2019 |  M09   | 286.2 |           |
| PCU327320327320 | 2019 |  M08   | 287.0 |           |
| PCU327320327320 | 2019 |  M07   | 284.8 |           |
| PCU327320327320 | 2019 |  M06   | 286.0 |           |
| PCU327320327320 | 2019 |  M05   | 283.0 |           |
| PCU327320327320 | 2019 |  M04   | 281.9 |           |
| PCU327320327320 | 2019 |  M03   | 277.6 |           |
| PCU327320327320 | 2019 |  M02   | 277.9 |           |
| PCU327320327320 | 2019 |  M01   | 277.4 |           |
| PCU327320327320 | 2018 |  M12   | 275.8 |           |
| PCU327320327320 | 2018 |  M11   | 275.2 |           |
| PCU327320327320 | 2018 |  M10   | 275.7 |           |
| PCU327320327320 | 2018 |  M09   | 277.0 |           |
| PCU327320327320 | 2018 |  M08   | 276.6 |           |
| PCU327320327320 | 2018 |  M07   | 275.8 |           |
| PCU327320327320 | 2018 |  M06   | 276.2 |           |
| PCU327320327320 | 2018 |  M05   | 278.7 |           |
| PCU327320327320 | 2018 |  M04   | 277.3 |           |
| PCU327320327320 | 2018 |  M03   | 278.2 |           |
| PCU327320327320 | 2018 |  M02   | 271.4 |           |
| PCU327320327320 | 2018 |  M01   | 271.0 |           |
| PCU327320327320 | 2017 |  M12   | 266.8 |           |
| PCU327320327320 | 2017 |  M11   | 265.9 |           |
| PCU327320327320 | 2017 |  M10   | 265.8 |           |
| PCU327320327320 | 2017 |  M09   | 265.8 |           |
| PCU327320327320 | 2017 |  M08   | 265.6 |           |
| PCU327320327320 | 2017 |  M07   | 265.4 |           |
| PCU327320327320 | 2017 |  M06   | 265.2 |           |
| PCU327320327320 | 2017 |  M05   | 264.0 |           |
| PCU327320327320 | 2017 |  M04   | 264.9 |           |
| PCU327320327320 | 2017 |  M03   | 262.1 |           |
| PCU327320327320 | 2017 |  M02   | 261.4 |           |
| PCU327320327320 | 2017 |  M01   | 261.0 |           |
| PCU327320327320 | 2016 |  M12   | 259.4 |           |
| PCU327320327320 | 2016 |  M11   | 259.0 |           |
| PCU327320327320 | 2016 |  M10   | 258.4 |           |
| PCU327320327320 | 2016 |  M09   | 258.0 |           |
| PCU327320327320 | 2016 |  M08   | 258.2 |           |
| PCU327320327320 | 2016 |  M07   | 257.5 |           |
| PCU327320327320 | 2016 |  M06   | 257.3 |           |
| PCU327320327320 | 2016 |  M05   | 257.2 |           |
| PCU327320327320 | 2016 |  M04   | 256.5 |           |
| PCU327320327320 | 2016 |  M03   | 253.7 |           |
| PCU327320327320 | 2016 |  M02   | 253.1 |           |
| PCU327320327320 | 2016 |  M01   | 252.4 |           |
| PCU327320327320 | 2015 |  M12   | 250.5 |           |
| PCU327320327320 | 2015 |  M11   | 250.3 |           |
| PCU327320327320 | 2015 |  M10   | 249.2 |           |
| PCU327320327320 | 2015 |  M09   | 248.8 |           |
| PCU327320327320 | 2015 |  M08   | 248.6 |           |
| PCU327320327320 | 2015 |  M07   | 248.1 |           |
| PCU327320327320 | 2015 |  M06   | 248.3 |           |
| PCU327320327320 | 2015 |  M05   | 248.1 |           |
| PCU327320327320 | 2015 |  M04   | 248.8 |           |
| PCU327320327320 | 2015 |  M03   | 245.7 |           |
| PCU327320327320 | 2015 |  M02   | 245.0 |           |
| PCU327320327320 | 2015 |  M01   | 243.8 |           |
| PCU327320327320 | 2014 |  M12   | 241.8 |           |
| PCU327320327320 | 2014 |  M11   | 241.0 |           |
| PCU327320327320 | 2014 |  M10   | 239.8 |           |
| PCU327320327320 | 2014 |  M09   | 238.9 |           |
| PCU327320327320 | 2014 |  M08   | 238.1 |           |
| PCU327320327320 | 2014 |  M07   | 237.7 |           |
| PCU327320327320 | 2014 |  M06   | 236.5 |           |
| PCU327320327320 | 2014 |  M05   | 234.8 |           |
| PCU327320327320 | 2014 |  M04   | 235.2 |           |
| PCU327320327320 | 2014 |  M03   | 234.2 |           |
| PCU327320327320 | 2014 |  M02   | 233.7 |           |
| PCU327320327320 | 2014 |  M01   | 231.7 |           |
| PCU327320327320 | 2013 |  M12   | 229.2 |           |
| PCU327320327320 | 2013 |  M11   | 228.8 |           |
| PCU327320327320 | 2013 |  M10   | 228.2 |           |
| PCU327320327320 | 2013 |  M09   | 227.9 |           |
| PCU327320327320 | 2013 |  M08   | 227.5 |           |
| PCU327320327320 | 2013 |  M07   | 227.9 |           |
| PCU327320327320 | 2013 |  M06   | 226.7 |           |
| PCU327320327320 | 2013 |  M05   | 226.3 |           |
| PCU327320327320 | 2013 |  M04   | 226.9 |           |
| PCU327320327320 | 2013 |  M03   | 224.7 |           |
| PCU327320327320 | 2013 |  M02   | 224.6 |           |
| PCU327320327320 | 2013 |  M01   | 224.2 |           |
| PCU327320327320 | 2012 |  M12   | 222.7 |           |
| PCU327320327320 | 2012 |  M11   | 221.7 |           |
| PCU327320327320 | 2012 |  M10   | 220.7 |           |
| PCU327320327320 | 2012 |  M09   | 220.5 |           |
| PCU327320327320 | 2012 |  M08   | 220.3 |           |
| PCU327320327320 | 2012 |  M07   | 220.2 |           |
| PCU327320327320 | 2012 |  M06   | 219.5 |           |
| PCU327320327320 | 2012 |  M05   | 219.5 |           |
| PCU327320327320 | 2012 |  M04   | 219.4 |           |
| PCU327320327320 | 2012 |  M03   | 219.7 |           |
| PCU327320327320 | 2012 |  M02   | 219.0 |           |
| PCU327320327320 | 2012 |  M01   | 218.4 |           |
| PCU327320327320 | 2011 |  M12   | 216.7 |           |
| PCU327320327320 | 2011 |  M11   | 216.2 |           |
| PCU327320327320 | 2011 |  M10   | 214.8 |           |
| PCU327320327320 | 2011 |  M09   | 214.9 |           |
| PCU327320327320 | 2011 |  M08   | 214.5 |           |
| PCU327320327320 | 2011 |  M07   | 214.9 |           |
| PCU327320327320 | 2011 |  M06   | 214.8 |           |
| PCU327320327320 | 2011 |  M05   | 214.8 |           |
| PCU327320327320 | 2011 |  M04   | 214.2 |           |
| PCU327320327320 | 2011 |  M03   | 215.2 |           |
| PCU327320327320 | 2011 |  M02   | 215.2 |           |
| PCU327320327320 | 2011 |  M01   | 216.2 |           |
| PCU327320327320 | 2010 |  M12   | 216.0 |           |
| PCU327320327320 | 2010 |  M11   | 215.8 |           |
| PCU327320327320 | 2010 |  M10   | 215.3 |           |
| PCU327320327320 | 2010 |  M09   | 215.2 |           |
| PCU327320327320 | 2010 |  M08   | 215.5 |           |
| PCU327320327320 | 2010 |  M07   | 216.3 |           |
| PCU327320327320 | 2010 |  M06   | 216.3 |           |
| PCU327320327320 | 2010 |  M05   | 216.2 |           |
| PCU327320327320 | 2010 |  M04   | 216.5 |           |
| PCU327320327320 | 2010 |  M03   | 218.5 |           |
| PCU327320327320 | 2010 |  M02   | 218.3 |           |
| PCU327320327320 | 2010 |  M01   | 218.8 |           |
+-----------------+------+--------+-------+-----------+
