+-------------------+------+--------+-------+-----------+
|     series id     | year | period | value | footnotes |
+-------------------+------+--------+-------+-----------+
| PCU33312033312014 | 2019 |  M12   | 273.6 |           |
| PCU33312033312014 | 2019 |  M11   | 273.6 |           |
| PCU33312033312014 | 2019 |  M10   | 273.6 |           |
| PCU33312033312014 | 2019 |  M09   | 273.6 |           |
| PCU33312033312014 | 2019 |  M08   | 273.6 |           |
| PCU33312033312014 | 2019 |  M07   | 273.6 |           |
| PCU33312033312014 | 2019 |  M06   | 273.6 |           |
| PCU33312033312014 | 2019 |  M05   | 272.9 |           |
| PCU33312033312014 | 2019 |  M04   | 272.9 |           |
| PCU33312033312014 | 2019 |  M03   | 272.9 |           |
| PCU33312033312014 | 2019 |  M02   | 272.9 |           |
| PCU33312033312014 | 2019 |  M01   | 272.9 |           |
| PCU33312033312014 | 2018 |  M12   | 267.5 |           |
| PCU33312033312014 | 2018 |  M11   | 267.7 |           |
| PCU33312033312014 | 2018 |  M10   | 267.7 |           |
| PCU33312033312014 | 2018 |  M09   | 267.7 |           |
| PCU33312033312014 | 2018 |  M08   | 267.7 |           |
| PCU33312033312014 | 2018 |  M07   | 250.1 |           |
| PCU33312033312014 | 2018 |  M06   | 248.7 |           |
| PCU33312033312014 | 2018 |  M05   | 248.7 |           |
| PCU33312033312014 | 2018 |  M04   | 248.6 |           |
| PCU33312033312014 | 2018 |  M03   | 248.6 |           |
| PCU33312033312014 | 2018 |  M02   | 248.6 |           |
| PCU33312033312014 | 2018 |  M01   | 248.6 |           |
| PCU33312033312014 | 2017 |  M12   | 256.4 |           |
| PCU33312033312014 | 2017 |  M11   | 256.4 |           |
| PCU33312033312014 | 2017 |  M10   | 256.0 |           |
| PCU33312033312014 | 2017 |  M09   | 256.0 |           |
| PCU33312033312014 | 2017 |  M08   | 255.5 |           |
| PCU33312033312014 | 2017 |  M07   | 255.5 |           |
| PCU33312033312014 | 2017 |  M06   | 255.5 |           |
| PCU33312033312014 | 2017 |  M05   | 255.4 |           |
| PCU33312033312014 | 2017 |  M04   | 255.4 |           |
| PCU33312033312014 | 2017 |  M03   | 255.4 |           |
| PCU33312033312014 | 2017 |  M02   | 255.4 |           |
| PCU33312033312014 | 2017 |  M01   | 255.4 |           |
| PCU33312033312014 | 2016 |  M12   | 253.6 |           |
| PCU33312033312014 | 2016 |  M11   | 253.6 |           |
| PCU33312033312014 | 2016 |  M10   | 252.6 |           |
| PCU33312033312014 | 2016 |  M09   | 252.6 |           |
| PCU33312033312014 | 2016 |  M08   | 253.5 |           |
| PCU33312033312014 | 2016 |  M07   | 253.5 |           |
| PCU33312033312014 | 2016 |  M06   | 253.5 |           |
| PCU33312033312014 | 2016 |  M05   | 253.5 |           |
| PCU33312033312014 | 2016 |  M04   | 253.5 |           |
| PCU33312033312014 | 2016 |  M03   | 253.5 |           |
| PCU33312033312014 | 2016 |  M02   | 253.5 |           |
| PCU33312033312014 | 2016 |  M01   | 253.2 |           |
| PCU33312033312014 | 2015 |  M12   | 249.6 |           |
| PCU33312033312014 | 2015 |  M11   | 249.6 |           |
| PCU33312033312014 | 2015 |  M10   | 249.6 |           |
| PCU33312033312014 | 2015 |  M09   | 249.6 |           |
| PCU33312033312014 | 2015 |  M08   | 249.6 |           |
| PCU33312033312014 | 2015 |  M07   | 249.6 |           |
| PCU33312033312014 | 2015 |  M06   | 249.7 |           |
| PCU33312033312014 | 2015 |  M05   | 249.7 |           |
| PCU33312033312014 | 2015 |  M04   | 249.7 |           |
| PCU33312033312014 | 2015 |  M03   | 249.7 |           |
| PCU33312033312014 | 2015 |  M02   | 249.7 |           |
| PCU33312033312014 | 2015 |  M01   | 249.7 |           |
| PCU33312033312014 | 2014 |  M12   | 248.6 |           |
| PCU33312033312014 | 2014 |  M11   | 248.6 |           |
| PCU33312033312014 | 2014 |  M10   | 248.5 |           |
| PCU33312033312014 | 2014 |  M09   | 248.5 |           |
| PCU33312033312014 | 2014 |  M08   | 248.5 |           |
| PCU33312033312014 | 2014 |  M07   | 248.5 |           |
| PCU33312033312014 | 2014 |  M06   | 248.4 |           |
| PCU33312033312014 | 2014 |  M05   | 248.4 |           |
| PCU33312033312014 | 2014 |  M04   | 248.4 |           |
| PCU33312033312014 | 2014 |  M03   | 248.4 |           |
| PCU33312033312014 | 2014 |  M02   | 248.4 |           |
| PCU33312033312014 | 2014 |  M01   | 248.4 |           |
| PCU33312033312014 | 2013 |  M12   | 246.3 |           |
| PCU33312033312014 | 2013 |  M11   | 246.5 |           |
| PCU33312033312014 | 2013 |  M10   | 246.4 |           |
| PCU33312033312014 | 2013 |  M09   | 246.4 |           |
| PCU33312033312014 | 2013 |  M08   | 246.4 |           |
| PCU33312033312014 | 2013 |  M07   | 246.4 |           |
| PCU33312033312014 | 2013 |  M06   | 245.8 |           |
| PCU33312033312014 | 2013 |  M05   | 245.9 |           |
| PCU33312033312014 | 2013 |  M04   | 248.7 |           |
| PCU33312033312014 | 2013 |  M03   | 246.1 |           |
| PCU33312033312014 | 2013 |  M02   | 247.3 |           |
| PCU33312033312014 | 2013 |  M01   | 246.2 |           |
| PCU33312033312014 | 2012 |  M12   | 245.6 |           |
| PCU33312033312014 | 2012 |  M11   | 245.2 |           |
| PCU33312033312014 | 2012 |  M10   | 236.0 |           |
| PCU33312033312014 | 2012 |  M09   | 234.0 |           |
| PCU33312033312014 | 2012 |  M08   | 234.5 |           |
| PCU33312033312014 | 2012 |  M07   | 239.1 |           |
| PCU33312033312014 | 2012 |  M06   | 234.7 |           |
| PCU33312033312014 | 2012 |  M05   | 234.2 |           |
| PCU33312033312014 | 2012 |  M04   | 235.3 |           |
| PCU33312033312014 | 2012 |  M03   | 232.4 |           |
| PCU33312033312014 | 2012 |  M02   | 232.9 |           |
| PCU33312033312014 | 2012 |  M01   | 229.9 |           |
| PCU33312033312014 | 2011 |  M12   | 231.5 |           |
| PCU33312033312014 | 2011 |  M11   | 224.9 |           |
| PCU33312033312014 | 2011 |  M10   | 227.3 |           |
| PCU33312033312014 | 2011 |  M09   | 222.3 |           |
| PCU33312033312014 | 2011 |  M08   | 218.3 |           |
| PCU33312033312014 | 2011 |  M07   | 218.7 |           |
| PCU33312033312014 | 2011 |  M06   | 216.3 |           |
| PCU33312033312014 | 2011 |  M05   | 216.5 |           |
| PCU33312033312014 | 2011 |  M04   | 213.0 |           |
| PCU33312033312014 | 2011 |  M03   | 215.0 |           |
| PCU33312033312014 | 2011 |  M02   | 211.5 |           |
| PCU33312033312014 | 2011 |  M01   | 209.7 |           |
| PCU33312033312014 | 2010 |  M12   | 216.2 |           |
| PCU33312033312014 | 2010 |  M11   | 212.3 |           |
| PCU33312033312014 | 2010 |  M10   | 214.9 |           |
| PCU33312033312014 | 2010 |  M09   | 210.1 |           |
| PCU33312033312014 | 2010 |  M08   | 210.8 |           |
| PCU33312033312014 | 2010 |  M07   | 209.8 |           |
| PCU33312033312014 | 2010 |  M06   | 209.7 |           |
| PCU33312033312014 | 2010 |  M05   | 208.8 |           |
