+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
+-------------+------+--------+---------+-----------+
| SUUR0000SA0 | 2023 |  M12   | 170.829 |  Interim  |
| SUUR0000SA0 | 2023 |  M11   | 171.033 |  Interim  |
| SUUR0000SA0 | 2023 |  M10   | 171.409 |  Interim  |
| SUUR0000SA0 | 2023 |  M09   | 171.490 |           |
| SUUR0000SA0 | 2023 |  M08   | 171.128 |           |
| SUUR0000SA0 | 2023 |  M07   | 170.461 |           |
| SUUR0000SA0 | 2023 |  M06   | 170.303 |           |
| SUUR0000SA0 | 2023 |  M05   | 169.774 |           |
| SUUR0000SA0 | 2023 |  M04   | 169.376 |           |
| SUUR0000SA0 | 2023 |  M03   | 168.501 |           |
| SUUR0000SA0 | 2023 |  M02   | 168.069 |           |
| SUUR0000SA0 | 2023 |  M01   | 167.267 |           |
| SUUR0000SA0 | 2022 |  M12   | 165.974 |           |
| SUUR0000SA0 | 2022 |  M11   | 166.498 |           |
| SUUR0000SA0 | 2022 |  M10   | 166.609 |           |
| SUUR0000SA0 | 2022 |  M09   | 165.845 |           |
| SUUR0000SA0 | 2022 |  M08   | 165.389 |           |
| SUUR0000SA0 | 2022 |  M07   | 165.495 |           |
| SUUR0000SA0 | 2022 |  M06   | 165.553 |           |
| SUUR0000SA0 | 2022 |  M05   | 163.615 |           |
| SUUR0000SA0 | 2022 |  M04   | 161.787 |           |
| SUUR0000SA0 | 2022 |  M03   | 160.835 |           |
| SUUR0000SA0 | 2022 |  M02   | 158.617 |           |
| SUUR0000SA0 | 2022 |  M01   | 157.178 |           |
| SUUR0000SA0 | 2021 |  M12   | 155.926 |           |
| SUUR0000SA0 | 2021 |  M11   | 155.538 |           |
| SUUR0000SA0 | 2021 |  M10   | 154.884 |           |
| SUUR0000SA0 | 2021 |  M09   | 153.734 |           |
| SUUR0000SA0 | 2021 |  M08   | 153.301 |           |
| SUUR0000SA0 | 2021 |  M07   | 153.076 |           |
| SUUR0000SA0 | 2021 |  M06   | 152.295 |           |
| SUUR0000SA0 | 2021 |  M05   | 151.022 |           |
| SUUR0000SA0 | 2021 |  M04   | 149.903 |           |
| SUUR0000SA0 | 2021 |  M03   | 148.746 |           |
| SUUR0000SA0 | 2021 |  M02   | 147.845 |           |
| SUUR0000SA0 | 2021 |  M01   | 147.125 |           |
| SUUR0000SA0 | 2020 |  M12   | 146.408 |           |
| SUUR0000SA0 | 2020 |  M11   | 146.242 |           |
